category,context,questions,nr
placeholder,"Sune blev syg op til sin første mundtlige eksamen og skal nu op til sygeeksamen. <br><br>Sune er meget nervøs og er bange for, at han går helt i sort, når han skal ind til eksamen.","<i>Hvad er praksis på skolen, når elever skal sygemelde sig til en eksamen?<br><br>Hvordan støtter man bedst elever, som er nervøse op til eksamen? Har du eksempler, hvor din støtte af elever i eksamenssituation er gået særligt godt?<br><br></i>",1
placeholder,"Lukas bryder sig ikke om at være i klassen og er ofte fraværende.<br><br>Lukas har kontaktet sin underviser og fortalt ham dette, men hun er i tvivl om, hvordan hun som underviser skal håndtere det.","<i>Har I før haft elever, som ikke trives i klassen?<br><br>Hvordan håndterer man som underviser eller mentor bedst, når elever ikke trives der? Er der behov for en fælles retningslinje i teamet om dette? <br><br> </i>",2
placeholder,"Cindy er ordblind og har ADHD.<br><br>Hun er dygtig, når hun samler sig, om det hun skal, men hun er ofte ukoncentreret. Hun er meget aktiv og social på skolen i frikvartererne, men ofte uoplagt i undervisningen.<br><br>","<i>Hvordan hjælper vi dobbeltudfordrede elever som Cindy i dag? <br><br>Hvordan samarbejder underviser, læsevejleder og mentor i praksis?<br><br>Er der noget, vi kan ændre for at give bedre støtte til elever som Cindy?<br><br></i>",3
placeholder,"Julie har svært ved at forstå fysiske og sociale grænser. Hun stirrer på de andre piger, når de klæder om, og hun opsøger ofte omklædningsrummet, selvom hun ikke selv skal klæde om. <br><br>På hendes hold er eleverne generelt fysiske fx i form af kram, men Julie overgør det i en grad, hvor det bliver ubehageligt for de andre. De ved ikke, hvordan de siger fra og begynder at trække sig fra hende.<br><br>","<i>Hvad ville I gøre, hvis I var Julies underviser eller mentor?<br><br>Er der noget, man kan gøre for at hjælpe holdkammeraterne?<br><br></i>",4
placeholder,"Stine har angst. Hun har meget fravær og klarer sig ikke godt i skolen fagligt, og forsvinder ofte alene i frikvartererne.",<i>Kan I genkende situationen fra andre elever?<br><br>Hvordan kan man hjælpe Stine socialt og fagligt i skolen?<br><br></i>,5
placeholder,"Emil vil rigtig gerne gennemføre sin uddannelse. Han er dog udfordret af at han har et stofmisbrug og lider af selvmordstanker.<br><br>Hans underviser mener ikke, at det er forsvarligt at have ham i klassen, da hun er bange for, at han kan finde på at gøre skade på sig selv. Hun ved samtidigt ikke, hvor hun skal søge hjælp, og hvordan hun hjælper Emil bedst. <br><br>","<i>Hvem kontakter man, hvis en elev vil gøre skade på sig selv eller andre?<br><br>Er der behov for en fælles retningslinje i teamet om dette? <br><br>Hvordan støtter man bedst elever som Emil?</i>",6
placeholder,"Ulrik har social angst. Det kan være vanskeligt at aflæse Ulrik, og svært at finde ud af, hvor meget støtte han har behov for. <br><br>Han klarer sig godt skriftligt, men har meget fysisk fravær og klarer sig dårligt mundtligt.<br><br>",<i>Hvordan kan underviser og mentor bedst støtte elever som Ulrik?<br><br>Hvad kan Ulrik (ikke) få støtte til gennem SPS?<br><br></i>,7
placeholder,"Mustafa er udadreagerende, og han har en tendens til at være fysisk voldelig, når han bliver frustreret. <br><br>Han har både truet sin underviser og sin mentor. Det sker ofte i forbindelse med, at han har svært ved at forstå en opgave.<br><br>","<i>Hvordan kan man forebygge, at elever som Mustafa bliver voldelige?<br><br>Hvad gør man, hvis en elev bliver udadreagerende over for andre elever? <br><br>Hvordan samarbejder underviser, mentor og læsevejleder i praksis?<br><br></i>",8
placeholder,"Jens har brug for meget struktur og mange gentagelser for at kunne følge med i og få noget ud af undervisningen.<br><br>Jens reagerer med vrede og aggressiv adfærd, når han ikke forstår opgaven. Han fylder i klassen, da han kræver meget opmærksomhed. Samtidig påvirker hans adfærd andre sårbare elever, der fx har angst.<br><br> ","<i>Hvordan kan man hjælpe elever med at få overblik over deres opgaver?<br><br>Hvad kan man gøre for at forebygge denne problematik? <br><br>Er der noget, man kan gøre for at hjælpe Jens og klassekammeraterne? <br><br></i>",9
placeholder,"Clara dukker sjældent op, når hun skal fremlægge, hvilket går ud over hende selv og klassekammeraterne.<br><br>Hun har højt fravær og fortæller ofte, at hun har angst.<br><br>","<i>Har I 2-3 gode råd til, hvordan man bedst støtter elever med angst?<br><br>Hvordan gør man klassefællesskabet til et trygt rum for alle elever?<br><br></i>",10
