category,context,questions,nr
placeholder,"Alice er psykisk sårbar og skal til at starte på hovedforløbet. Alice udtrykker stor bekymring for det, fordi hun frygter at skulle ud på en læreplads.","<i>Hvad er den nuværende praksis, når elever skal starte på en læreplads?<br><br>Hvordan kan man som mentor og underviser støtte elever som frygter lærepladsen? Hvordan kan der samarbejdes med en læreplads om elever som Alice?<br><br></i>",1
placeholder,"Katrine har mange års arbejdserfaring som sagsbehandler i en kommune, men blev sygemeldt med stress og valgte at starte på en erhvervsuddannelse.<br><br>Hun er glad for undervisningen, men føler sig ikke godt tilpas socialt i klassen. Eleverne er søde, men de siger hende ikke noget socialt. Det begynder at påvirke hendes engagement i timerne.<br><br>","<i>Kan du genkende situationen? Hvad er problemet her? <br><br>Hvordan kan man støtte Katrine, så hun trives og gennemfører? <br><br>Kan hun bruge sit personlige netværk uden for skolen til noget her? Hvad?<br><br></i>",2
placeholder,"Cindy er ordblind og diagnosticeret med ADHD.  <br><br>Hun er dygtig, når hun samler sig, om det hun skal, men hun er ofte ukoncentreret. Hun er meget aktiv og social i frikvartererne, men ofte uoplagt i undervisningen.<br><br>","<i>Hvordan hjælper vi dobbeltudfordrede elever som Cindy i dag? <br><br>Hvordan samarbejder underviser, mentor og læsevejleder i praksis?<br><br>Er der noget, vi kan ændre for at give bedre støtte til elever som Cindy?<br><br></i>",3
placeholder,"Julie har svært ved at forstå fysiske og sociale grænser. Hun stirrer på de andre piger, når de klæder om, og hun opsøger ofte omklædningsrummet, selvom hun ikke selv skal klæde om. <br><br>I hendes klasse er eleverne generelt fysiske fx i form af kram, men Julie overgør det i en grad, hvor det bliver ubehageligt for de andre. De ved ikke, hvordan de siger fra og begynder at trække sig fra hende.<br><br>","<i>Hvad ville I gøre, hvis I var Julies underviser eller mentor?<br><br>Er der noget, man kan gøre for at hjælpe klassekammeraterne? <br><br></i>",4
placeholder,"Lukas bryder sig ikke om at være på sin læreplads og melder sig ofte syg.<br><br>Lukas har kontaktet sin mentor og fortalt ham dette, men hans mentor er i tvivl om, hvordan han skal håndtere det.","<i>Kan du genkende situationen fra elever, du har mødt? <br><br>Hvordan afklarer skolen om elever uden en diagnose kan modtage SPS?<br><br>Hvad foreslår du, at mentor og underviser gør ved Ahmeds situation?<br><br></i>",5
placeholder,"Ulrik har social angst. Han er nervøs for at skulle i lære, da han forventer, at der vil være mange nye mennesker på lærepladsen. <br><br>Det kan være vanskeligt at aflæse Ulrik, og svært at finde ud af, om han er i stand til at arbejde på en læreplads på egen hånd, eller om han skal have tæt kontakt med en mentor på lærepladsen. <br><br>","<i>Har I før haft elever, som ikke trives på deres læreplads?<br><br>Hvordan håndterer man som mentor eller underviser bedst, når elever ikke trives der? Skal lærepladsen inddrages i indsigterne? Hvis ja, hvordan?<br><br><br><br></i>",6
placeholder,"Mustafa er udadreagerende, og han har en tendens til at være fysisk voldelig, når han bliver frustreret. <br><br>Han har både truet sin underviser og sin mentor. Det sker ofte i forbindelse med, at han har svært ved at forstå en opgave.<br><br>","<i>Hvordan sker der med SPS-støtten mellem skole og læreplads i dag?<br><br>Hvordan støtter underviser eller mentor elever, som er nervøse for at få en læreplads? Hvornår vil I anbefale, at støtten fortsætter under lærepladsen? <br><br></i>",7
placeholder,"Mustafa er udadreagerende, og han har en tendens til at være fysisk voldelig, når han bliver frustreret. <br><br>Han har både truet sin underviser og sin mentor. Det sker ofte i forbindelse med, at han har svært ved at forstå en opgave.<br><br>","<i>Hvordan kan man forebygge, at elever som Mustafa bliver voldelige?<br><br>Hvad gør man, hvis en elev bliver udadreagerende over for andre elever? <br><br>Hvordan samarbejder underviser, mentor og læsevejleder om elever som Mustafa?<br><br></i>",8
placeholder,"Frederik har ADHD, og svært ved at komme i gang med sine opgaver. Han er med på værkstedet, deltager i samtaler og stiller spørgsmål i timerne. <br><br>Men når han selv skal yde noget aktivt, så går han i stå. Frederiks underviser synes, at hun har prøvet alt og ved ikke længere, hvad hun skal stille op. <br><br>",<i>Kan I genkende situationen? Hvad gjorde I for at støtte eleven?<br><br>Hvad kan man generelt gøre for at støtte elever som Frederik?<br><br>Er der noget mentor eller underviser kan gøre for at støtte elever som Frederik?<br><br></i>,9
placeholder,"Sashas underviser har en mistanke om, at Sasha har et hashmisbrug. Sasha har højt fravær og er ofte meget træt og uengageret i undervisningen.","<i>Hvilke redskaber kan man bruge til at engagere elever med højt fravær?<br><br>Hvad gør man, når man fornemmer, at en elev har et misbrug?<br><br>Hvornår skal man tage fat i skolens psykoterapeut for at få hjælp?</i>",10
