category,context,questions,nr
placeholder,"Zia føler sig udenfor på holdet. Hun vil rigtig gerne være en del af fællesskabet, men synes det er svært at danne nye relationer.",<i>Hvad kan Zia gøre for at få et bedre forhold til sine holdkammerater?<br><br>Hvem kan Zia tale med om dette?</i>,1
placeholder,"Casper er i gruppe med Sara, der ikke taler særlig godt dansk.<br><br>Han vil gerne hjælpe hende, men er i tvivl om, hvordan han skal gøre det - og om Sara vil have hjælp.",<i>Hvad kan Casper gøre? <br><br>Hvordan kan I hjælpe elever med sproglige udfordringer på jeres hold?</i>,2
placeholder,"Jonas synes, at der er langt til skole, og sommetider er det svært for ham at komme afsted om morgenen. <br><br>Han kommer tit for sent og er nervøs for sit fravær.","<i>Oplever I, at fravær er et problem på jeres hold?<br><br>Har I gode råd til Jonas? </i>",3
placeholder,"Mohammed synes, at det er svært at nå at lave sine lektier, da han har mange fritidsaktiviteter.<br><br>Han er ambitiøs og vil gerne klare sin uddannelse godt.","<i>Hvad kan Mohammed gøre?<br><br>Er der noget, der gør det svært for jer at nå alle lektierne?</i>",4
placeholder,"Mikkel er lige startet på uddannelsen, og glæder sig til at komme i gang.<br><br>Han er dog nervøs for, om det faglige niveau bliver for højt, og om han kan følge med. <br><br>","<i>Hvad har I nemt og svært ved på jeres uddannelse?<br><br>Er der noget, I er nervøse for?</i>",5
placeholder,"Aja trives på sit hold og kan godt lide uddannelsen.<br><br>Hun bruger meget tid på at læse og er i tvivl, om hun er ordblind. ","<i>Hvordan kan man finde ud af, om man er ordblind?<br><br>Hvilken hjælp kan ordblinde elever få på jeres skole?</i>",6
placeholder,"Mie er lige startet på sit hold.<br><br>Der er mange nye elever, og Mie er spændt på, hvordan det bliver socialt.","<i>Var der mange, der kendte hinanden i forvejen på jeres hold?<br><br>Hvordan fungerer det socialt?</i>",7
placeholder,"Lucas lærer har travlt med at nå rundt til alle elever, og han når ikke altid at få hjælp, når han har brug for det.",<i>Har I oplevet det før?<br><br>Hvad har i gjort for at komme videre?</i>,8
placeholder,"Jeppe er startet på sin drømmeuddannelse.<br><br>Flere af hans venner, der går på en erhvervsuddannelse, forstår ikke hvorfor han ikke også har valgt en erhvervsuddannelse.",<i>Hvorfor har I valgt lige præcis denne uddannelse?</i>,9
placeholder,"Søren er god til de skriftlige opgaver og klarer sig godt i skolen. <br><br>Han har dog svært ved mundtlige eksamener, fordi han bliver nervøs og glemmer, hvad han vil sige.",<i>Hvordan har I det med at gå til eksamen og prøver?<br><br>Hvor får man hjælp til eksamensangst på jeres skole?</i>,10
placeholder,"En gruppe fra Emmas hold er begyndt at lave sociale ting i skoletiden. <br><br>Hun vil gerne med dem, men vil  samtidig ikke gå glip af undervisningen.",<i>Er det svært for jer at vælge mellem det sociale og faglige?<br><br>Hvad vil I råde Emma til? </i>,11
placeholder,"Morten synes, at det går lidt for hurtigt i undervisningen. <br><br>Nogle opgaver er svære at løse, og det påvirker hans humør.","<i>Hvad synes I om tempoet i undervisningen?<br><br>Hvad kan man gøre, hvis det bliver for svært fagligt?</i>",12
placeholder,"Mathilde skal holde oplæg for hele holdet, og har ikke fortalt nogen at hun har social angst. <br><br>Hun vil gerne udnytte muligheden for at starte på en frisk, men er samtidig også meget nervøs","<i>Hvad ville I gøre, hvis I var Mathilde? <br><br>Hvad kan I gøre for at gøre det trygt for alle på holdet?</i>",13
