category,context,questions,nr
placeholder,"Cindy er ordblind og diagnosticeret med ADHD.  <br><br>Hun er dygtig, når hun samler sig, om det hun skal, men hun er ofte ukoncentreret. Hun er meget aktiv og social på skolen i frikvartererne, men ofte uoplagt i undervisningen.","<i>Hvordan hjælper vi dobbeltudfordrede elever som Cindy i dag? <br><br>Hvordan samarbejder SPS-vejleder, underviser, læsevejleder i praksis?<br><br>Er der noget, vi kan ændre for at give bedre støtte til elever som Cindy?</i>",1
placeholder,"Julie har svært ved at forstå fysiske og sociale grænser. Hun stirrer på de andre piger, når de klæder om, og hun opsøger ofte omklædningsrummet, selvom hun ikke selv skal klæde om. <br><br>I hendes klasse er eleverne generelt fysiske fx i form af kram, men Julie overgør det i en grad, hvor det bliver ubehageligt for de andre. De ved ikke, hvordan de siger fra og begynder at trække sig fra hende.","<i>Tror I Julie har en diagnose? Hvis ja, hvilken?<br><br>Hvad ville I gøre, hvis I var Julies lærer eller vejleder?<br><br>Er der noget, man kan gøre for at hjælpe klassekammeraterne? </i>",2
placeholder,"Stine har generaliseret angst. Hun har meget fravær og klarer sig ikke godt i skolen fagligt, og forsvinder ofte alene i frikvartererne.",<i>Kan I genkende situationen fra andre elever?<br><br>Hvordan kan man hjælpe hende socialt og fagligt i skolen?</i>,3
placeholder,"Emil har flere diagnoser, er selvmordstruet og har et stofmisbrug. <br><br>Hans lærer mener ikke, at det er forsvarligt at have ham i klassen, da hun er bange for, at han kan finde på at gøre skade på sig selv. Hun ved samtidigt ikke, hvor hun skal søge hjælp, og hvordan hun hjælper Emil bedst.","<i>Hvem kontakter man, hvis en elev vil gøre skade på sig selv eller andre?<br><br>Er der behov for en fælles retningslinje i teamet om dette? <br><br>Hvordan støtter man bedst elever som Emil?</i>",4
placeholder,"Ahmed har ingen diagnoser og får ikke SPS i dag. <br><br>Han er dog både socialt og fagligt meget udfordret. Hans underviser tror ikke, at han kan gennemføre medmindre skolen handler og gør noget snart. <br><br>En SPS-vejleder, som har set Ahmed i undervisningen, er enig med underviser, men de kan se, at han ikke er blevet tildelt SPS ved skolestart.","<i>Kan du genkende situationen fra elever, du har mødt? <br><br>Hvordan afklarer skolen om elever uden en diagnose kan modtage SPS?<br><br>Hvad foreslår du, at vejleder  og underviser gør ved Ahmeds situation?</i>",5
placeholder,"Fatima har diagnosen paranoid skizofreni. Hun er velmedicineret, og dagligdagen på skolen fungerer godt. <br><br>Fatimas vejleder kender ikke diagnosen, og han er i tvivl om, hvordan han bedst støtter hende. Han mener at have læst engang, at mennesker med paranoid skizofreni kan være utilregnelige, og han kan ikke slippe tanken, om hun pludselig kan skade ham eller sig selv.",<i>Hvad ved I om paranoid skizofreni? Har I mødt elever med diagnosen? <br><br>Hvilke typer udfordringer kan vejledere ikke hjælpe Fatima med? Hvorfor?<br><br>Har du oplevet at være utryg ved en elev? Hvad er gode råd til vejledere og lærere?</i>,6
placeholder,"Ulrik har social angst. Det kan være vanskeligt at aflæse Ulrik, og svært at finde ud af, hvor meget støtte han har behov for. Han klarer sig godt skriftligt, men har meget fysisk fravær og klarer sig dårligt mundtligt.",<i>Hvordan kan underviser og vejleder bedst støtte elever som Ulrik?<br><br>Hvad kan Ulrik (ikke) få støtte til gennem SPS?</i>,7
placeholder,"Mustafa har ADHD. Hans vejleder tror, at han har flere diagnoser. <br><br>Mustafa er udadreagerende, og han har en tendens til at være fysisk voldelig, når han bliver frustreret. Han har både truet sin underviser og sin vejleder. Det sker ofte i forbindelse med, at han har svært ved at forstå en opgave.<br><br>","<i>Hvordan kan man forebygge, at elever som Mustafa bliver voldelige?<br><br>Hvad gør man, hvis en elev bliver udadreagerende over for andre elever? <br><br>Hvordan samarbejder SPS-vejleder, underviser, læsevejleder i praksis?</i>",8
placeholder,"Jens har diagnosen borderline. Han har brug for meget struktur og mange gentagelser for at kunne følge med i og få noget ud af undervisningen.<br><br>Jens reagerer med vrede og aggressiv adfærd, når han ikke forstår opgaven. Han fylder i klassen, da han kræver meget opmærksomhed. Samtidig påvirker hans adfærd andre sårbare elever, der fx har angst. ","<i>Hvordan kan man hjælpe elever med at få overblik over deres opgaver?<br><br>Hvad kan man gøre for at forebygge denne problematik? <br><br>Er der noget, man kan gøre for at hjælpe Jens og klassekammeraterne? </i>",9
placeholder,"Clara har ingen formelle diagnoser. Hun fortæller dog ofte, at hun har angst og har højt fravær. <br><br>Clara dukker sjældent op, når hun skal fremlægge, hvilket går ud over hende selv og klassekammeraterne.","<i>Hvad er tegn på, at elever har angst som diagnose? Hvilke former findes?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med angst?<br><br>Hvordan gør man klassefællesskabet til et trygt rum for alle elever?</i>",10
